ts,level,target,message
2026-08-01T18:51:21.860268+09:00,INFO,SPY,최초 수집 4421행
2026-08-01T18:51:21.860268+09:00,OK,SPY,4421행 저장  2009-01-02 ~ 2026-07-31
2026-08-01T18:51:21.860268+09:00,INFO,SOX,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T18:51:21.860268+09:00,INFO,SOX,신규 3행 추가
2026-08-01T18:51:21.860268+09:00,OK,SOX,8116행 저장  1994-05-05 ~ 2026-07-31
2026-08-01T18:51:21.860268+09:00,INFO,SOXL,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T18:51:21.860268+09:00,INFO,SOXL,신규 5행 추가
2026-08-01T18:51:21.860268+09:00,WARN,SOXL,"급변 32건 (분할 의심): 2020-02-17, 2020-02-18, 2020-03-14"
2026-08-01T18:51:21.860268+09:00,OK,SOXL,4151행 저장  2010-03-12 ~ 2026-07-31
2026-08-01T18:51:21.860268+09:00,INFO,SOXS,최초 수집 4123행
2026-08-01T18:51:21.860268+09:00,WARN,SOXS,급변 1건 (분할 의심): 2026-05-26
2026-08-01T18:51:21.860268+09:00,OK,SOXS,4123행 저장  2010-03-11 ~ 2026-07-31
2026-08-01T18:51:21.860268+09:00,INFO,SOXX,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T18:51:21.860268+09:00,INFO,SOXX,신규 0행 추가
2026-08-01T18:51:21.860268+09:00,WARN,SOXX,"급변 2건 (분할 의심): 2016-02-27, 2016-02-29"
2026-08-01T18:51:21.860268+09:00,OK,SOXX,4132행 저장  2010-03-01 ~ 2026-07-31
2026-08-01T18:51:21.860268+09:00,INFO,NVDA,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T18:51:21.860268+09:00,INFO,NVDA,신규 5행 추가
2026-08-01T18:51:21.860268+09:00,WARN,NVDA,"급변 2건 (분할 의심): 2016-02-27, 2016-02-29"
2026-08-01T18:51:21.860268+09:00,OK,NVDA,4122행 저장  2010-03-15 ~ 2026-07-31
2026-08-01T18:51:21.860268+09:00,WARN,MU,출처 불일치 의심 — 겹침 30일 중 최대 종가차 1.23%
2026-08-01T18:51:21.860268+09:00,INFO,MU,신규 3행 추가
2026-08-01T18:51:21.860268+09:00,OK,MU,4170행 저장  2010-01-04 ~ 2026-07-31
2026-08-01T18:51:21.860268+09:00,INFO,QQQ,최초 수집 4421행
2026-08-01T18:51:21.860268+09:00,OK,QQQ,4421행 저장  2009-01-02 ~ 2026-07-31
2026-08-01T18:51:21.860268+09:00,OK,VIXCLS,9241행 저장  1990-01-02 ~ 2026-07-30
2026-08-01T18:51:21.860268+09:00,OK,NFCI,2899행 저장  1971-01-08 ~ 2026-07-24
2026-08-01T18:51:21.860268+09:00,OK,BAMLH0A0HYM2,787행 저장  2023-08-01 ~ 2026-07-30
2026-08-01T18:51:21.860268+09:00,OK,T10Y2Y,12538행 저장  1976-06-01 ~ 2026-07-31
2026-08-01T18:51:21.860268+09:00,OK,DEXKOUS,11318행 저장  1981-04-13 ~ 2026-07-24
2026-08-01T18:51:21.860268+09:00,INFO,FearGreed,신규 4행 추가
2026-08-01T18:51:21.860268+09:00,OK,FearGreed,3915행 저장  2011-01-03 ~ 2026-07-31
2026-08-01T19:43:29.630650+09:00,INFO,SPY,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T19:43:29.630650+09:00,INFO,SPY,신규 0행 추가
2026-08-01T19:43:29.630650+09:00,OK,SPY,4421행 저장  2009-01-02 ~ 2026-07-31
2026-08-01T19:43:29.630650+09:00,INFO,SOX,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T19:43:29.630650+09:00,INFO,SOX,신규 0행 추가
2026-08-01T19:43:29.630650+09:00,OK,SOX,8116행 저장  1994-05-05 ~ 2026-07-31
2026-08-01T19:43:29.630650+09:00,INFO,SOXL,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T19:43:29.630650+09:00,INFO,SOXL,신규 0행 추가
2026-08-01T19:43:29.630650+09:00,WARN,SOXL,"급변 32건 (분할 의심): 2020-02-17, 2020-02-18, 2020-03-14"
2026-08-01T19:43:29.630650+09:00,OK,SOXL,4151행 저장  2010-03-12 ~ 2026-07-31
2026-08-01T19:43:29.630650+09:00,INFO,SOXS,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T19:43:29.630650+09:00,INFO,SOXS,신규 0행 추가
2026-08-01T19:43:29.630650+09:00,WARN,SOXS,급변 1건 (분할 의심): 2026-05-26
2026-08-01T19:43:29.630650+09:00,OK,SOXS,4123행 저장  2010-03-11 ~ 2026-07-31
2026-08-01T19:43:29.630650+09:00,INFO,SOXX,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T19:43:29.630650+09:00,INFO,SOXX,신규 0행 추가
2026-08-01T19:43:29.630650+09:00,WARN,SOXX,"급변 2건 (분할 의심): 2016-02-27, 2016-02-29"
2026-08-01T19:43:29.630650+09:00,OK,SOXX,4132행 저장  2010-03-01 ~ 2026-07-31
2026-08-01T19:43:29.630650+09:00,INFO,NVDA,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T19:43:29.630650+09:00,INFO,NVDA,신규 0행 추가
2026-08-01T19:43:29.630650+09:00,WARN,NVDA,"급변 2건 (분할 의심): 2016-02-27, 2016-02-29"
2026-08-01T19:43:29.630650+09:00,OK,NVDA,4122행 저장  2010-03-15 ~ 2026-07-31
2026-08-01T19:43:29.630650+09:00,WARN,MU,출처 불일치 의심 — 겹침 30일 중 최대 종가차 1.23%
2026-08-01T19:43:29.630650+09:00,INFO,MU,신규 0행 추가
2026-08-01T19:43:29.630650+09:00,OK,MU,4170행 저장  2010-01-04 ~ 2026-07-31
2026-08-01T19:43:29.630650+09:00,INFO,QQQ,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T19:43:29.630650+09:00,INFO,QQQ,신규 0행 추가
2026-08-01T19:43:29.630650+09:00,OK,QQQ,4421행 저장  2009-01-02 ~ 2026-07-31
2026-08-01T19:43:29.630650+09:00,INFO,VIXCLS,신규 0행 추가
2026-08-01T19:43:29.630650+09:00,OK,VIXCLS,9241행 저장  1990-01-02 ~ 2026-07-30
2026-08-01T19:43:29.630650+09:00,INFO,NFCI,신규 0행 추가
2026-08-01T19:43:29.630650+09:00,OK,NFCI,2899행 저장  1971-01-08 ~ 2026-07-24
2026-08-01T19:43:29.630650+09:00,WARN,BAMLH0A0HYM2,제공처 절단 감지 — 수신 시작일 2023-08-01 > 보유 시작일 1996-12-31. 기존 이력 보존하고 신규분만 추가
2026-08-01T19:43:29.630650+09:00,WARN,BAMLH0A0HYM2,수신 787행 < 보유 7725행 — 덮어쓰기 금지 적용
2026-08-01T19:43:29.630650+09:00,INFO,BAMLH0A0HYM2,신규 0행 추가
2026-08-01T19:43:29.630650+09:00,OK,BAMLH0A0HYM2,7725행 저장  1996-12-31 ~ 2026-07-30
2026-08-01T19:43:29.630650+09:00,INFO,T10Y2Y,신규 0행 추가
2026-08-01T19:43:29.630650+09:00,OK,T10Y2Y,12538행 저장  1976-06-01 ~ 2026-07-31
2026-08-01T19:43:29.630650+09:00,INFO,DEXKOUS,신규 0행 추가
2026-08-01T19:43:29.630650+09:00,OK,DEXKOUS,11318행 저장  1981-04-13 ~ 2026-07-24
2026-08-01T19:43:29.630650+09:00,INFO,FearGreed,신규 0행 추가
2026-08-01T19:43:29.630650+09:00,OK,FearGreed,3915행 저장  2011-01-03 ~ 2026-07-31
2026-08-01T23:24:38.497510+09:00,INFO,SPY,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T23:24:38.497510+09:00,INFO,SPY,신규 0행 추가
2026-08-01T23:24:38.497510+09:00,OK,SPY,4421행 저장  2009-01-02 ~ 2026-07-31
2026-08-01T23:24:38.497510+09:00,INFO,SOX,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T23:24:38.497510+09:00,INFO,SOX,신규 0행 추가
2026-08-01T23:24:38.497510+09:00,OK,SOX,8114행 저장  1994-05-05 ~ 2026-07-31
2026-08-01T23:24:38.497510+09:00,INFO,SOXL,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T23:24:38.497510+09:00,INFO,SOXL,신규 0행 추가
2026-08-01T23:24:38.497510+09:00,OK,SOXL,4122행 저장  2010-03-12 ~ 2026-07-31
2026-08-01T23:24:38.497510+09:00,INFO,SOXS,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T23:24:38.497510+09:00,INFO,SOXS,신규 0행 추가
2026-08-01T23:24:38.497510+09:00,WARN,SOXS,급변 1건 (분할 소급 미조정 의심): 2026-05-26
2026-08-01T23:24:38.497510+09:00,WARN,SOXS,★ 최근 180일 내 급변 ['2026-05-26'] — 제공처 분할 조정 확인 필요
2026-08-01T23:24:38.497510+09:00,OK,SOXS,4123행 저장  2010-03-11 ~ 2026-07-31
2026-08-01T23:24:38.497510+09:00,INFO,SOXX,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T23:24:38.497510+09:00,INFO,SOXX,신규 0행 추가
2026-08-01T23:24:38.497510+09:00,OK,SOXX,4131행 저장  2010-03-01 ~ 2026-07-31
2026-08-01T23:24:38.497510+09:00,INFO,NVDA,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T23:24:38.497510+09:00,INFO,NVDA,신규 0행 추가
2026-08-01T23:24:38.497510+09:00,OK,NVDA,4121행 저장  2010-03-15 ~ 2026-07-31
2026-08-01T23:24:38.497510+09:00,WARN,MU,출처 불일치 의심 — 겹침 30일 중 최대 종가차 1.23%
2026-08-01T23:24:38.497510+09:00,INFO,MU,신규 0행 추가
2026-08-01T23:24:38.497510+09:00,OK,MU,4169행 저장  2010-01-04 ~ 2026-07-31
2026-08-01T23:24:38.497510+09:00,INFO,QQQ,"출처 교차검증 통과 (겹침 30일, 최대차 0.000%)"
2026-08-01T23:24:38.497510+09:00,INFO,QQQ,신규 0행 추가
2026-08-01T23:24:38.497510+09:00,OK,QQQ,4421행 저장  2009-01-02 ~ 2026-07-31
2026-08-01T23:24:38.497510+09:00,INFO,VIXCLS,신규 0행 추가
2026-08-01T23:24:38.497510+09:00,OK,VIXCLS,9241행 저장  1990-01-02 ~ 2026-07-30
2026-08-01T23:24:38.497510+09:00,INFO,NFCI,신규 0행 추가
2026-08-01T23:24:38.497510+09:00,OK,NFCI,2899행 저장  1971-01-08 ~ 2026-07-24
